ID=4657 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Puff 090x100                                  | W=0.90 | D=1.00 | H=0.41 | PA=0.00 | M3=0.370
ID=4658 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Puff 100x100                                  | W=1.00 | D=1.00 | H=0.41 | PA=0.00 | M3=0.410
ID=4659 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Puff 110x100                                  | W=1.10 | D=1.00 | H=0.41 | PA=0.00 | M3=0.450
ID=4660 | Cat=18 | Marca=ESTOFADO ALOHA (BASE TAPEÇADA) | Desc=Puff 120x100                                  | W=1.20 | D=1.00 | H=0.41 | PA=0.00 | M3=0.490
ID=3216 | Cat=18 | Marca=ESTOFADO AMARILIS         | Desc=Inteiro (1Ass:138 - 2Br:022)                  | W=1.80 | D=0.88 | H=0.73 | PA=0.00 | M3=1.160
ID=3217 | Cat=18 | Marca=ESTOFADO AMARILIS         | Desc=Inteiro (1Ass:158 - 2Br:022)                  | W=2.00 | D=0.88 | H=0.73 | PA=0.00 | M3=1.280
ID=3218 | Cat=18 | Marca=ESTOFADO AMARILIS         | Desc=Inteiro (1Ass:178 - 2Br:022)                  | W=2.20 | D=0.88 | H=0.73 | PA=0.00 | M3=1.410
ID=3219 | Cat=18 | Marca=ESTOFADO AMARILIS         | Desc=Inteiro (1Ass:198 - 2Br:022)                  | W=2.40 | D=0.88 | H=0.73 | PA=0.00 | M3=1.540
ID=3220 | Cat=18 | Marca=ESTOFADO AMARILIS         | Desc=Inteiro (1Ass:218 - 2Br:022)                  | W=2.60 | D=0.88 | H=0.73 | PA=0.00 | M3=1.670
ID=3221 | Cat=18 | Marca=ESTOFADO AMARILIS         | Desc=Inteiro (1Ass:238 - 2Br:022)                  | W=2.80 | D=0.88 | H=0.73 | PA=0.00 | M3=1.800
ID=3245 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Canto 1,04x1,04                               | W=1.04 | D=1.04 | H=0.86 | PA=0.00 | M3=0.930
ID=3246 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Chaise (1Ass:090 - 1Br:020)                   | W=1.10 | D=1.80 | H=0.86 | PA=0.00 | M3=1.700
ID=3247 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Chaise (1Ass:100 - 1Br:020)                   | W=1.20 | D=1.80 | H=0.86 | PA=0.00 | M3=1.860
ID=3248 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Chaise (1Ass:110 - 1Br:020)                   | W=1.30 | D=1.80 | H=0.86 | PA=0.00 | M3=2.010
ID=3226 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:080 - 1Br:020)                   | W=1.00 | D=1.08 | H=0.86 | PA=0.00 | M3=0.930
ID=3234 | Cat=18 | Marca=ESTOFADO ANKUR            | Desc=Módulo (1Ass:080 - 1Me:055)                   | W=1.35 | D=1.08 | H=0.86 | PA=0.00 | M3=1.250
