Row  74 | Model: ESTOFADO LASSO            | Desc: Módulo (1Ass:235 - 1Me:030)              | W=2.65 | D=0.94 | H=0.78 | PA=0.00 | M3=2.491 | Prices=[5354.3172375, 5453.5587749999995, 5609.509762500002, 5751.283387499999, 5907.234375000001, 6063.1853625, 6219.13635, 6488.5062375, 6928.004475000002]
Row  76 | Model: ESTOFADO LASSO            | Desc: Módulo Curvo 250                         | W=2.50 | D=1.15 | H=0.78 | PA=0.00 | M3=2.875 | Prices=[5724.346398750001, 5824.69062, 5982.374396249999, 6125.7232837500005, 6283.407060000001, 6441.09083625, 6598.774612500001, 6871.13749875, 7315.51905]
Row  78 | Model: ESTOFADO LASSO            | Desc: Puff 09x090                              | W=0.90 | D=0.90 | H=0.45 | PA=0.00 | M3=0.810 | Prices=[1798.0046175000004, 1826.6743949999998, 1871.7269025, 1912.6837275, 1957.7362349999999, 2002.7887425000001, 2047.84125, 2125.6592175, 2252.6253750000005]
Row  80 | Model: ESTOFADO LASSO            | Desc: Módulo Reto (1Ass:115 - S/br)            | W=1.15 | D=0.94 | H=0.78 | PA=0.00 | M3=1.081 | Prices=[3310.020328125, 3367.911225, 3458.882634375, 3541.5839156250004, 3632.555325, 3723.526734375, 3814.4981437500005, 3971.6305781250003, 4228.004550000001]
Row  81 | Model: ESTOFADO LASSO            | Desc: Módulo Reto (1Ass:135 - S/br)            | W=1.35 | D=0.94 | H=0.78 | PA=0.00 | M3=1.269 | Prices=[3606.6422568749995, 3672.25194, 3775.3528706250004, 3869.080989375001, 3972.18192, 4075.2828506250007, 4178.3837812500005, 4356.467206875001, 4647.024375]
Row  82 | Model: ESTOFADO LASSO            | Desc: Módulo Reto (1Ass:155 - S/br)            | W=1.55 | D=0.94 | H=0.78 | PA=0.00 | M3=1.457 | Prices=[3903.2641856249998, 3976.5926550000004, 4091.8231068750006, 4196.578063125001, 4311.808515, 4427.038966875, 4542.269418750001, 4741.303835625001, 5066.0442]
Row  83 | Model: ESTOFADO LASSO            | Desc: Módulo Reto (1Ass:175 - S/br)            | W=1.75 | D=0.94 | H=0.78 | PA=0.00 | M3=1.645 | Prices=[4203.036639375001, 4284.083895000001, 4411.443868125, 4527.225661875, 4654.585635000001, 4781.945608125001, 4909.305581250001, 5129.290989375, 5488.214550000001]
Row  84 | Model: ESTOFADO LASSO            | Desc: Módulo Reto (1Ass:195 - S/br)            | W=1.95 | D=0.94 | H=0.78 | PA=0.00 | M3=1.833 | Prices=[4505.959618125001, 4594.725660000001, 4734.215154375, 4861.0237856250005, 5000.513280000001, 5140.002774375001, 5279.49226875, 5520.4286681250005, 5913.535425]
Row  85 | Model: ESTOFADO LASSO            | Desc: Módulo Reto (1Ass:215 - S/br)            | W=2.15 | D=0.94 | H=0.78 | PA=0.00 | M3=2.021 | Prices=[4802.581546875001, 4899.066375, 5050.685390625, 5188.520859375, 5340.139875000001, 5491.758890625001, 5643.377906250001, 5905.265296875001, 6332.55525]
Row  86 | Model: ESTOFADO LASSO            | Desc: Módulo Reto (1Ass:235 - S/br)            | W=2.35 | D=0.94 | H=0.78 | PA=0.00 | M3=2.209 | Prices=[5099.203475625001, 5203.407090000001, 5367.155626875, 5516.017933125, 5679.76647, 5843.515006875001, 6007.263543749999, 6290.101925625001, 6751.575075000001]
Row  88 | Model: ESTOFADO LASSO            | Desc: Chaise                                   | W=1.15 | D=1.75 | H=0.78 | PA=0.00 | M3=2.012 | Prices=[3917.8353637499995, 4004.94738, 4141.837691250002, 4266.283428750001, 4403.17374, 4540.06405125, 4676.954362500001, 4913.40126375, 5299.183050000001]
Row  89 | Model: ESTOFADO LASSO            | Desc: Chaise                                   | W=1.35 | D=1.75 | H=0.78 | PA=0.00 | M3=2.363 | Prices=[4256.044222500001, 4346.464290000001, 4488.552967500001, 4617.7244925, 4759.81317, 4901.901847500001, 5043.990525, 5289.4164225, 5689.848149999999]
Row  91 | Model: ESTOFADO LASSO            | Desc: Braço solto                              | W=0.30 | D=0.60 | H=0.30 | PA=0.00 | M3=0.180 | Prices=[696.10849875, 730.2916950000001, 784.0081462500003, 832.84128375, 886.557735, 940.2741862500002, 993.9906375000003, 1086.7735987500002, 1238.1563250000002]
Row  94 | Model: ESTOFADO MIWA             | Desc: Tapeçado - Bipartido (1Ass:166 - 2Br:20) - 6 Almofadas | W=2.06 | D=0.98 | H=0.87 | PA=0.00 | M3=2.019 | Prices=[6412.2912, 6548.236800000001, 6761.8656, 6956.0736, 7169.702399999999, 7383.331199999999, 7596.96, 7965.955200000001, 8568.0]
Row  95 | Model: ESTOFADO MIWA             | Desc: Tapeçado - Bipartido (1Ass:186 - 2Br:20) - 6 Almofadas | W=2.26 | D=0.98 | H=0.87 | PA=0.00 | M3=2.215 | Prices=[6591.076800000002, 6735.0192, 6961.214400000001, 7166.8464, 7393.041600000001, 7619.2368, 7845.432, 8236.132800000003, 8873.592000000002]
Row  96 | Model: ESTOFADO MIWA             | Desc: Tapeçado - Bipartido (1Ass:206 - 2Br:20) - 6 Almofadas | W=2.46 | D=0.98 | H=0.87 | PA=0.00 | M3=2.411 | Prices=[6778.430400000001, 6930.369599999999, 7169.131199999999, 7386.187200000001, 7624.9488, 7863.710400000001, 8102.472, 8514.878400000001, 9187.752000000002]
Row  97 | Model: ESTOFADO MIWA             | Desc: Tapeçado - Bipartido (1Ass:226 - 2Br:20) - 8 Almofadas | W=2.66 | D=0.98 | H=0.87 | PA=0.00 | M3=2.607 | Prices=[7155.4224, 7327.3536, 7597.5311999999985, 7843.1471999999985, 8113.324799999999, 8383.5024, 8653.68, 9120.3504, 9881.76]
Row  98 | Model: ESTOFADO MIWA             | Desc: Tapeçado - Bipartido (1Ass:246 - 2Br:20) - 8 Almofadas | W=2.86 | D=0.98 | H=0.87 | PA=0.00 | M3=2.803 | Prices=[7320.213599999999, 7498.142400000001, 7777.744800000001, 8031.928800000001, 8311.5312, 8591.1336, 8870.736, 9353.685599999999, 10141.656]
Row  99 | Model: ESTOFADO MIWA             | Desc: Tapeçado - Bipartido (1Ass:266 - 2Br:20) - 8 Almofadas | W=3.06 | D=0.98 | H=0.87 | PA=0.00 | M3=2.999 | Prices=[7527.844800000002, 7711.771200000001, 8000.7984000000015, 8263.550400000002, 8552.577599999999, 8841.604800000003, 9130.632000000001, 9629.860800000002, 10444.392000000002]
Row 101 | Model: ESTOFADO MIWA             | Desc: Algodão - Bipartido (1Ass:166 - 2Br:20) - 6 Almofadas | W=2.06 | D=0.98 | H=0.87 | PA=0.00 | M3=2.019 | Prices=[None, None, None, 5771.976000000001, None, None, None, None, None]
Row 102 | Model: ESTOFADO MIWA             | Desc: Algodão - Bipartido (1Ass:186 - 2Br:20) - 6 Almofadas | W=2.26 | D=0.98 | H=0.87 | PA=0.00 | M3=2.215 | Prices=[None, None, None, 5914.776000000001, None, None, None, None, None]
